year,state,income,weights
2014,TENNESSEE,16514.8633770393,0.001
2014,ARIZONA,72064.8583725353,0.001
2014,UTAH,47042.3381042939,0.001
2014,SOUTH CAROLINA,8707.83705334801,0.001
2014,CALIFORNIA,4.00360324291863,0.001
2014,NORTH CAROLINA,39535.5820238214,0.001
2014,ARIZONA,51045.9413472125,0.001
2014,CALIFORNIA,56550.8958062256,0.001
2014,NORTH CAROLINA,9008.10729656691,0.001
2014,NORTH CAROLINA,44840.3563206886,0.001
2014,NORTH CAROLINA,47042.3381042939,0.001
2014,CALIFORNIA,89480.5324792313,0.001
2014,NEW YORK,25322.7905114603,0.001
2014,NEW JERSEY,283755.379841858,0.001
2014,CALIFORNIA,18016.2145931338,0.001
2014,NEW YORK,78070.2632369132,0.001
2014,MAINE,3202.8825943349,0.001
2014,MAINE,71063.9575618056,0.001
2014,TEXAS,99189.270343309,0.001
2014,TEXAS,420448.403563207,0.001
2014,DISTRICT OF COLUMBIA,30027.0243218897,0.001
2014,COLORADO,78070.2632369132,0.001
2014,ARKANSAS,56050.4454008608,0.001
2014,MASSACHUSETTS,82073.8664798319,0.001
2014,MINNESOTA,180162.145931338,0.001
2014,COLORADO,92112.9016114503,0.001
2014,ILLINOIS,265238.714843359,0.001
2014,FLORIDA,68061.2551296167,0.001
2014,NEW YORK,40036.0324291863,0.001
2014,SOUTH CAROLINA,125112.601341207,0.001
2014,KENTUCKY,53548.1933740366,0.001
2014,COLORADO,7706.93624261836,0.001
2014,VIRGINIA,177159.443499149,0.001
2014,CALIFORNIA,72765.488940046,0.001
2014,NEVADA,92082.8745871284,0.001
2014,ILLINOIS,5504.95445901311,0.001
2014,NORTH CAROLINA,16024.4219797818,0.001
2014,NORTH CAROLINA,17015.3137824042,0.001
2014,KENTUCKY,10909.8188369533,0.001
2014,NORTH CAROLINA,145130.6175558,0.001
2014,OHIO,16014.4129716745,0.001
2014,TEXAS,175157.64187769,0.001
2014,CALIFORNIA,53047.7429686718,0.001
2014,KANSAS,40036.0324291863,0.001
2014,PENNSYLVANIA,75067.5608047243,0.001
2014,MISSOURI,29526.5739165249,0.001
2014,TEXAS,1538985.08657792,0.001
2014,TEXAS,52046.8421579422,0.001
2014,CALIFORNIA,55449.904914423,0.001
2014,NEW YORK,137323.591232109,0.001
2014,LOUISIANA,107096.386748073,0.001
2014,ALABAMA,17115.4038634771,0.001
2014,FLORIDA,22720.4484035632,0.001
2014,LOUISIANA,107096.386748073,0.001
2014,LOUISIANA,100090.081072966,0.001
2014,KANSAS,18016.2145931338,0.001
2014,MINNESOTA,64558.1022920629,0.001
2014,DELAWARE,76068.4616154539,0.001
2014,RHODE ISLAND,33630.2672405165,0.001
2014,MICHIGAN,84676.208587729,0.001
2014,NEBRASKA,2041.8376538885,0.001
2014,MICHIGAN,98088.2794515064,0.001
2014,VIRGINIA,41937.7439695726,0.001
2014,FLORIDA,19757.7820038034,0.001
2014,KENTUCKY,152136.923230908,0.001
2014,CALIFORNIA,211330.19717746,0.001
2014,NEW YORK,11410.2692423181,0.001
2014,OREGON,51045.9413472125,0.001
2014,COLORADO,45040.5364828346,0.001
2014,NORTH CAROLINA,15013.5121609449,0.001
2014,FLORIDA,305775.19767791,0.001
2014,OREGON,95085.5770193174,0.001
2014,SOUTH CAROLINA,50445.4008607747,0.001
2014,TEXAS,66059.4535081574,0.001
2014,IOWA,79081.1730557502,0.001
2014,SOUTH CAROLINA,78030.227204484,0.001
2014,MICHIGAN,98088.2794515064,0.001
