year,division,income,weights
2014,North East,83078.77089,0.000854514
2014,North East,55359.82384,0.000854514
2014,North East,38234.41097,0.000854514
2014,North East,92082.87459,0.000854514
2014,North East,88079.27134,0.000854514
2014,North East,3202.882594,0.000854514
2014,North East,9008.107297,0.000854514
2014,North East,172154.9394,0.000854514
2014,North East,46742.06786,0.000854514
2014,North East,19817.83605,0.000854514
2014,North East,137423.6813,0.000854514
2014,North East,240216.1946,0.000854514
2014,North East,71063.95756,0.000854514
2014,North East,14412.97167,0.000854514
2014,North East,16174.5571,0.000854514
2014,North East,22520.26824,0.000854514
2014,North East,225202.6824,0.000854514
2014,North East,20018.01621,0.000854514
2014,North East,66659.99399,0.000854514
2014,North East,184065.6591,0.000854514
2014,North East,86978.28045,0.000854514
2014,North East,71063.95756,0.000854514
2014,North East,917826.0434,0.000854514
2014,North East,294264.8384,0.000854514
2014,North East,12711.4403,0.000854514
2014,North East,1473325.993,0.000854514
2014,North East,72064.85837,0.000854514
2014,North East,13211.8907,0.000854514
2014,North East,80072.06486,0.000854514
2014,North East,92082.87459,0.000854514
2014,North East,139725.7532,0.000854514
2014,North East,32729.45651,0.000854514
2014,North East,75067.5608,0.000854514
2014,North East,12711.4403,0.000854514
2014,North East,200980.8828,0.000854514
2014,North East,157141.4273,0.000854514
2014,North East,240216.1946,0.000854514
2014,North East,90081.07297,0.000854514
2014,North East,182163.9476,0.000854514
2014,North East,137423.6813,0.000854514
2014,North East,29026.12351,0.000854514
2014,North East,46041.43729,0.000854514
2014,North East,21189.07016,0.000854514
2014,North East,108697.828,0.000854514
2014,North East,18016.21459,0.000854514
2014,North East,71063.95756,0.000854514
2014,North East,11410.26924,0.000854514
2014,North East,116104.494,0.000854514
2014,North East,137323.5912,0.000854514
2014,North East,165148.6338,0.000854514
2014,North East,9008.107297,0.000854514
2014,North East,178160.3443,0.000854514
2014,North East,150135.1216,0.000854514
2014,North East,32729.45651,0.000854514
2014,North East,9608.647783,0.000854514
2014,North East,77169.45251,0.000854514
2014,North East,76068.46162,0.000854514
2014,North East,3202.882594,0.000854514
2014,North East,117305.575,0.000854514
2014,North East,116104.494,0.000854514
2014,North East,25022.52027,0.000854514
2014,North East,50795.71614,0.000854514
2014,North East,50795.71614,0.000854514
2014,North East,283755.3798,0.000854514
2014,North East,63617.25553,0.000854514
2014,North East,178160.3443,0.000854514
2014,North East,99289.36042,0.000854514
2014,North East,294264.8384,0.000854514
2014,North East,82073.86648,0.000854514
2014,North East,125613.0517,0.000854514
2014,North East,19817.83605,0.000854514
2014,North East,137423.6813,0.000854514
2014,North East,97788.00921,0.000854514
2014,North East,23020.71865,0.000854514
2014,North East,178880.9929,0.000854514
2014,North East,29826.84416,0.000854514
2014,North East,71264.13772,0.000854514
2014,North East,50045.04054,0.000854514
2014,North East,20018.01621,0.000854514
2014,North East,90081.07297,0.000854514
2014,North East,119907.9171,0.000854514
2014,North East,131118.0062,0.000854514
2014,North East,78770.8938,0.000854514
2014,North East,283755.3798,0.000854514
2014,North East,89080.17215,0.000854514
2014,North East,72064.85837,0.000854514
2014,North East,13211.8907,0.000854514
2014,North East,12511.26013,0.000854514
2014,North East,66659.99399,0.000854514
2014,North East,13211.8907,0.000854514
2014,North East,65659.09318,0.000854514
2014,North East,40956.86118,0.000854514
2014,North East,75067.5608,0.000854514
2014,North East,157141.4273,0.000854514
2014,North East,71264.13772,0.000854514
2014,North East,103793.4141,0.000854514
2014,North East,38234.41097,0.000854514
2014,North East,40036.03243,0.000854514
2014,North East,137123.4111,0.000854514
2014,North East,92082.87459,0.000854514
2014,North East,146131.5184,0.000854514
2014,North East,157141.4273,0.000854514
2014,North East,917826.0434,0.000854514
2014,North East,25322.79051,0.000854514
2014,North East,120108.0973,0.000854514
2014,North East,9008.107297,0.000854514
2014,North East,23020.71865,0.000854514
2014,North East,130357.3216,0.000854514
2014,North East,345510.9599,0.000854514
2014,North East,130357.3216,0.000854514
2014,North East,15073.56621,0.000854514
2014,North East,80072.06486,0.000854514
2014,North East,93083.7754,0.000854514
2014,North East,69062.15594,0.000854514
2014,North East,45941.34721,0.000854514
2014,North East,23020.71865,0.000854514
2014,North East,71264.13772,0.000854514
2014,North East,45941.34721,0.000854514
2014,North East,38234.41097,0.000854514
2014,North East,137423.6813,0.000854514
2014,North East,78070.26324,0.000854514
2014,North East,13111.80062,0.000854514
2014,North East,14613.15184,0.000854514
2014,North East,139725.7532,0.000854514
2014,North East,20022.01982,0.000854514
2014,North East,125613.0517,0.000854514
2014,North East,75067.5608,0.000854514
2014,North East,181463.317,0.000854514
2014,North East,133119.8078,0.000854514
2014,North East,80072.06486,0.000854514
2014,North East,14813.332,0.000854514
2014,North East,23020.71865,0.000854514
2014,North East,101541.3872,0.000854514
2014,North East,34571.114,0.000854514
2014,North East,240216.1946,0.000854514
2014,North East,38034.23081,0.000854514
2014,North East,23020.71865,0.000854514
2014,North East,109698.7289,0.000854514
2014,North East,72064.85837,0.000854514
2014,North East,91081.97378,0.000854514
2014,North East,43639.27535,0.000854514
2014,North East,29026.12351,0.000854514
2014,North East,25022.52027,0.000854514
