product_ids,market_ids,firm_ids,prices,shares,costs,markups,sales,size,weight,hp,mpg,vehicle_type,engine_type,plant_country
2015_dodge_durango,2015,dodge,0.36895,0.001052775,0.32295629256698327,0.12466108533139104,49744,1.194624924,4.913,3.6,1.9,SUV,ICE,United States
2015_dodge_grandcaravan,2015,dodge,0.25245,0.001497554,0.20857155061805577,0.1738104550681095,70760,1.24637492,4.321,2.83,2,Van,ICE,Canada
2015_dodge_journey,2015,dodge,0.26595,0.001800176,0.22379548520202078,0.15850541379198813,85059,1.118324928,3.907,2.83,1.9,SUV,ICE,Mexico
2015_fiat_500,2015,fiat,0.187,0.000485689,0.14854157509536406,0.20566002622799967,22949,0.712541621,2.363,1.01,3,Car,ICE,Mexico
2015_fiat_500l,2015,fiat,0.21195,4.26833292276651e-05,0.17311209633297747,0.18324087599444458,1982,0.8109402258776001,3.203,1.6,2.65,Car,ICE,Serbia
2015_ford_cmaxhybrid,2015,ford,0.2567,0.000355955,0.21208423964221068,0.17380506567116988,16819,0.9113999416703998,3.607,1.88,4,Car,Hybrid,United States
2015_ford_edge,2015,ford,0.33495,0.001743753,0.28787173377825903,0.14055311605236898,82393,1.1207624282711999,4.095,2.8,2.1,SUV,ICE,Canada
2015_ford_escape,2015,ford,0.274,0.00422295,0.22914094533069165,0.163719178,199536,1.01170688,3.515,1.78,2.5,SUV,ICE,United States
2015_ford_eseries,2015,ford,0.2856,0.000254411,0.2320340376944993,0.1875558904254227,12021,1.588915871,4.847,3.05,1.2,Van,ICE,United States
2015_ford_expedition,2015,ford,0.5418,0.000633413,0.4892953333825054,0.096907838,29929,1.3132499159520001,5.6,3.65,1.8,SUV,ICE,United States
2015_ford_explorer,2015,ford,0.33,0.00313534,0.2831977263437925,0.1418250716854774,148146,1.234612421,4.432,2.9,1.9,SUV,ICE,United States
2015_ford_f150,2015,ford,0.35825,0.006764961,0.30556527470679157,0.14706134066492238,319647,1.558883234,4.563,3.65,1.8,Truck,ICE,United States
2015_ford_f250,2015,ford,0.37465,0.002101401,0.3201211306084869,0.14554616146139887,99292,1.7978693293808001,6.547,3.85,1.4,Truck,ICE,United States
2015_ford_fiesta,2015,ford,0.15885,0.001070595,0.1199205537118877,0.24507048340014034,50586,0.7844082831311999,2.5575,1.2,3.1,Car,ICE,Mexico
2015_ford_flex,2015,ford,0.3405,0.000243617,0.2940427687716567,0.13643827086150756,11511,1.2444332536896001,4.439,2.87,2,Car,ICE,Canada
2015_ford_focus,2015,ford,0.1896,0.002827554,0.15002812122632753,0.20871244078941173,133603,0.890020776,2.92,1.6,3,Car,ICE,United States
2015_ford_focusev,2015,ford,0.2917,3.114972774861675e-05,0.24874685042235176,0.14725111271048424,1353,0.9665589659180001,3.624,1.43,10.5,Car,Electric,United States
2015_ford_fusion,2015,ford,0.24035,0.002787745,0.19817230849708412,0.17548446641529392,131722,1.111593679,3.461,1.81,2.6,Car,ICE,Mexico
2015_ford_fusionhybrid,2015,ford,0.2738,0.000446896,0.22853494981311961,0.1653215857811555,21116,1.1121735399319999,3.639,1.88,4.2,Car,Hybrid,Mexico
2015_ford_mustang,2015,ford,0.323,0.002032428,0.2775418982887853,0.14073715700066478,96033,0.9859596591208002,3.532,3.1,2.1,Car,ICE,United States
2015_ford_taurus,2015,ford,0.288,0.001001791,0.2442229430733895,0.15200366988406422,47335,1.2075367282732001,4.054,2.88,2.3,Car,ICE,United States
2015_ford_transit,2015,ford,0.3281,0.001950249,0.2755406815478208,0.16019298522456327,92150,1.618649896,5.108,2.75,1.6,Van,ICE,United States
2015_ford_transitconnect,2015,ford,0.23655,0.00076628,0.1860986611283004,0.2132798092229956,36207,1.015624241,3.618,1.69,2.4,Van,ICE,Spain
2015_gmc_acadia,2015,gmc,0.4082,0.001589638,0.36133845885518256,0.1148004437648639,75111,1.1002165962528003,4.656,2.81,1.9,SUV,ICE,United States
2015_gmc_canyon,2015,gmc,0.28535,0.000467382,0.2432605451942773,0.14750115579366632,22084,1.237524921,4.05,3.05,2.1,Truck,ICE,United States
2015_gmc_savana,2015,gmc,0.34015,0.000343256,0.29071800229832606,0.14532411495420827,16219,1.232549921,5.873,2.85,1.2,Van,ICE,United States
2015_gmc_sierra,2015,gmc,0.4087,0.004176665,0.36026363604814526,0.11851324676255137,197349,1.338871442,6.295,3.6,1.8,Truck,ICE,United States
2015_gmc_terrain,2015,gmc,0.3157,0.001957127,0.27155349352445707,0.13983689095832408,92475,0.936794384,3.881,1.82,2.3,SUV,ICE,Canada
2015_gmc_yukon,2015,gmc,0.5074,0.000727232,0.45796300660835554,0.097431993,34362,1.1398575659380001,5.533,3.55,1.7,SUV,ICE,United States
2015_gmc_yukonxl,2015,gmc,0.5344,0.000519297,0.4841221215657874,0.094082856,24537,1.2538992253060002,5.717,3.55,1.7,SUV,ICE,United States
2015_honda_accord,2015,honda,0.2736,0.006124649,0.22915742366854464,0.1624363170009334,289392,0.9620721606496001,3.329,1.85,2.7,Car,ICE,United States
2015_honda_accordhybrid,2015,honda,0.32055,0.00025003,0.2748910864256843,0.1424392873945273,11814,0.971677716,3.595,1.96,4.7,Car,Hybrid,United States
