Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,,,,
FCA,Jeep,Compass,2022_jeep_compass,MPV,22%,68% M,,Toluca Mexico,,US,US (9SPD),J (Manual),,,,,,
FCA,Jeep,Gladiator,2022_jeep_gladiator,Truck,68%,21% M,,Toledo OH USA,I (3.0L Diesel),US or M (3.6L),G (8HP75)        US,J (Manual),,,,,,
FCA,Jeep,Grand Cherokee,2022_jeep_grandcherokee,MPV,73%,19% M,,Detroit Ml USA,,US or M (3.6L),US,G (8HP50),,,,,,
FCA,Jeep,Grand Cherokee L,2022_jeep_grandcherokee,MPV,66%,24% M,,Detroit Ml USA,M (5.7L),US or M (3.6L)    US or I (2.0L),US,G (8HP75 & 8HP75PH),,,,,,
FCA,Jeep,Grand Wagoneer,2022_jeep_grandwagoneer,MPV,60%,32% M,,Detroit Ml USA,,M, ,US,,,,,,
FCA,Jeep,Renegade,2022_jeep_renegade,MPV,14%,63% I,,Melfi Italy, ,PL (1.3L),,US,,,,,,
Fiat Chrysler,Jeep,Wrangler  ,2022_jeep_wrangler,MPV,60%,20% M,,Toledo OH USA,US or I (2.0L),M                        I (3.0 Diesel),G (8HP75 & 8HP75PH),US                             J (Manual),,,,,,
Fiat Chrysler,RAM,Ram 1500 Pickup,2022_ram_1500,Truck,63%,28% M,,Sterling Heights MI USA,US (3.6L),"M (5.7L, 6,2L)             I (3.0L Diesel)",US,G (8HP75 & 8HP75PH),,,,,,
Fiat Chrysler,RAM,Ram 1500 CLASSIC,2022_ram_1500classic,Truck,65%,25% M,,Warren MI USA ,US or M (3.6L),M (5.7L),US,G (8HP70),,,,,,
Fiat Chrysler,RAM,Ram 1500 CLASSIC,2022_ram_1500classic,Truck,G (8HP75 & 8HP75PH),40% M,,Saltillo Mexico (Reg. Cab),US or M (3.6L),M (5.7L),US,G (8HP70),,,,,,
Fiat Chrysler,RAM,Promaster City,2022_ram_promaster,MPV,34%,44% T,18% I,Bursa Turkey,,US,,US,,,,,,
Fiat Chrysler,Mazda,Spider  124,2022_mazda_spider,PC,,,,,,,,,,,,,,
Fiat Chrysler,Maserati,Levante,2022_maserati_levante,MPV,2%,71% I,,I,,I,,G,,,,,,
Fiat Chrysler,Maserati,Ghibli,2022_maserati_ghibli,PC,3%,75% I,,I,,I,,G,,,,,,
Fiat Chrysler,Maserati,Quattroporte,2022_maserati_quattroporte,PC,3%,76% I,,I,,I,,G,,,,,,
Fiat Chrysler,Maserati,MC20,2022_maserati_mc20,PC,10%,80% I,,I,,I,,U ,,,,,,
Ford Motor Company,Ford,Bronco,2022_ford_bronco,MPV,55%, ,,US, ,US,,CHN (7SPD),US (10 SPD),,,,,
Ford Motor Company,Ford,Bronco Sport,2022_ford_broncosport,MPV,25%,67% MX,,MX, ,ESP (2.0L),MX (1.5L),US,,,,,,
Ford Motor Company,Ford,EcoSport,2022_ford_ecosport,MPV,22%,54% IN,,IN, ,US (2.0L),,US,,,,,,
Ford Motor Company,Ford,Edge,2022_ford_edge,MPV,32%,20% MX,,CN,,ESP (2.0L),MX (2.7L),US,,,,,,
Ford Motor Company,Ford,Escape,2022_ford_escape,MPV,30%,27% MX,,US,,"MX (2.5L, 1.5L)",ESP (2.0L),US,,,,,,
