Manufacturers,Makes,Carlines,year_make_model,check,,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,allowed_names,
Fiat Chrysler,Jeep,"Wrangler  2d, 4d",2024_jeep_wrangler,TRUE,OK,MPV,64%,18% M,,Toledo OH USA,,US,"I, M",US,"J, G",,2024_dodge_durango,TRUE
Fiat Chrysler,RAM,Ram 1500,2024_ram_1500,TRUE,OK,Truck,61%,32% M,,Sterling Heights MI USA,,US,M,US,G,,2024_dodge_hornet,TRUE
Fiat Chrysler,RAM,Ram 1500 CLASSIC,2024_ram_1500classic,TRUE,OK,Truck,67%,27% M,,Warren MI USA,,US,M,US,G,,2024_dodge_hornethybrid,FALSE
Ford Motor Company,Ford,Bronco,2024_ford_bronco,TRUE,OK,MPV,18%,,,US,,M (2.3L),"US (2.7L, 3.0L)",US,,,2024_ferrari_296gtbhybrid,FALSE
Ford Motor Company,Ford,Bronco Sport,2024_ford_broncosport,TRUE,OK,MPV,20%,64% M,,M,,ESP (2.0L),M (1.5L),US,,,2024_ferrari_812competizione,FALSE
Ford Motor Company,Ford,Edge,2024_ford_edge,TRUE,OK,MPV,28%,18% M,,CN,,ESP (2.0L),M (2.7L),US,,,2024_ferrari_daytonasp3,FALSE
Ford Motor Company,Ford,Escape,2024_ford_escape,TRUE,OK,MPV,32%,25% M,,US,,M (1.5L),US (2.0L),US,,,2024_ferrari_purosangue,FALSE
Ford Motor Company,Ford,Escape PHEV,2024_ford_escapehybrid,TRUE,OK,MPV,32%,25% M,,US,,MX (2.5L),,US,,,2024_ferrari_roma,FALSE
Ford Motor Company,Ford,Expedition,2024_ford_expedition,TRUE,OK,MPV,25%,15% M,,US,,M,,US,,,2024_ferrari_romaspider,FALSE
Ford Motor Company,Ford,Explorer,2024_ford_explorer,TRUE,OK,MPV,27%,,,US,,"US (2.3L, 3.3L)",M (3.0L),US,,,2024_ferrari_sf90spiderhybrid,FALSE
Ford Motor Company,Ford,F150 EV,2024_ford_f150ev,TRUE,OK,Truck,24%,,,US,,US,,US,,,2024_ferrari_sf90stradalehybrid,FALSE
Ford Motor Company,Ford,F150,2024_ford_f150,TRUE,OK,Truck,32%,,,US,,"US (2.7L, 5.0L)",M (3.5L),US,,,2024_ferrari_sf90xxspiderhybrid,FALSE
Ford Motor Company,Ford,F150,2024_ford_f150,TRUE,OK,Truck,32%,,,US,,M (3.5L),"US (2.7L, 5.0L, 5.2L)",US,,,2024_ferrari_sf90xxstradalehybrid,FALSE
Ford Motor Company,Ford,Maverick,2024_ford_maverick,TRUE,OK,MPV,20%,55% M,,M,,M (2.5L),US (2.0L),US,,,2024_ford_bronco,TRUE
Ford Motor Company,Ford,Mustang,2024_ford_mustang,TRUE,OK,PC,60%,17% M,,US,,US (5.0L),M (2.3L),"US (10 SPD), CH (6 SPD)",M (6 SPD),,2024_ford_broncosport,TRUE
Ford Motor Company,Ford,Mustang Mach-E,2024_ford_mustangmacheev,TRUE,OK,MPV,26%,51% CH,18% M,M,,M,CH,J,,,2024_ford_edge,TRUE
Ford Motor Company,Ford,Ranger,2024_ford_ranger,TRUE,OK,MPV,8%,,,US,,"US (2.3L, 2.7L, 3.0L)",,US,,,2024_ford_escape,TRUE
Ford Motor Company,Lincoln,Aviator,2024_lincoln_aviator,TRUE,OK,MPV,27%,,,US,,US,,US,,,2024_ford_escapehybrid,TRUE
Ford Motor Company,Lincoln,Corsair,2024_lincoln_corsair,TRUE,OK,PC,47%,25% M,,US,,US,,US,,,2024_ford_eseries,FALSE
Ford Motor Company,Lincoln,Corsair PHEV,2024_lincoln_corsairhybrid,TRUE,OK,PC,47%,25% M,,US,,M,,US,,,2024_ford_expedition,TRUE
Ford Motor Company,Lincoln,Nautilus,2024_lincoln_nautilus,TRUE,OK,MPV,13%,86% CH,,CH,,CH (2.0L),,CH,,,2024_ford_explorer,TRUE
Ford Motor Company,Lincoln,Navigator,2024_lincoln_navigator,TRUE,OK,MPV,23%,,,US,,M,,US,,,2024_ford_f150,TRUE
GM LLC,Buick,Enclave,2024_buick_enclave,TRUE,OK,MPV,31%,35% M,,US,,M,,US,M,,2024_ford_f150ev,TRUE
GM LLC,Buick,Encore GX,2024_buick_encoregx,TRUE,OK,MPV,2%,50% K,18% CH,K,,M,K,M,,,2024_ford_f150hybrid,FALSE
GM LLC,Buick,Envista,2024_buick_envista,TRUE,OK,MPV,3%,55% K,21% M,K,,M,,M,,,2024_ford_f250,FALSE
GM LLC,Cadillac,CT4,2024_cadillac_ct4,TRUE,OK,PC,38%,21% M,15% CH,US,,US,,US,,,2024_ford_maverick,TRUE
GM LLC,Cadillac,CT5,2024_cadillac_ct5,TRUE,OK,PC,38%,21% M,15% CH,US,,US,,US,,,2024_ford_maverickhybrid,FALSE
GM LLC,Cadillac,Escalade,2024_cadillac_escalade,TRUE,OK,MPV,37%,36% M,,US,,US,,US,,,2024_ford_mustang,TRUE
GM LLC,Cadillac,XT4,2024_cadillac_xt4,TRUE,OK,MPV,39%,17% M,15% CH,US,,US,,US,,,2024_ford_mustangmacheev,TRUE
GM LLC,Cadillac,XT5,2024_cadillac_xt5,TRUE,OK,MPV,31%,35% M,,US,,US,,US,,,2024_ford_ranger,TRUE
GM LLC,Cadillac,XT6,2024_cadillac_xt6,TRUE,OK,MPV,31%,35% M,,US,,US,,US,,,2024_ford_transit,FALSE
GM LLC,Chevrolet,Blazer,2024_chevrolet_blazer,TRUE,OK,MPV,31%,35% M,,M,,US,,US,M,,2024_genesis_g70,FALSE
GM LLC,Chevrolet,Blazer EV,2024_chevrolet_blazerev,TRUE,OK,PC,62%,18% CH,,M,,,,,,,2024_genesis_g80,TRUE
GM LLC,Chevrolet,Bolt,2024_chevrolet_boltev,FALSE,OK,PC,28%,28% T,21% CH,US,,,,K,,,2024_genesis_g90,TRUE
