Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,
Ford Motor Company,Ford,Transit Connect,2020_ford_transit,Truck,10%,50% ESP,,ESP,,FR (1.5)               MX (2.5),US (2.0),US,FR,,
Ford Motor Company,Lincoln,Corsair,2020_lincoln_corsair,PC,16%,,,US,,"ESP(2.0L, 2.3L)",US (2.5L),US,,,
Ford Motor Company,Lincoln,Continental,2020_lincoln_continental,PC,46%,25% MX,,US,,"US (2.7L, 3.7L)",MX (3.0L),,,,
Ford Motor Company,Lincoln,Aviator,2020_lincoln_aviator,MPV,50%,20% MX,,US,,US,,US,,,
Ford Motor Company,Lincoln,Nautilus,2020_lincoln_nautilus,MPV,45%,15% MX,,US,,ESP (2.0L),US (2.7L),US,,,
Ford Motor Company,Lincoln,MKZ,2020_lincoln_mkz,PC,25%,60% MX,,MX,,ESP (2.0L),US (3.0L),US,,,
Ford Motor Company,Lincoln,MKZ,2020_lincoln_mkzhybrid,PC,25%,60% MX,,MX,,MX (2.0L e),,US,,,
Ford Motor Company,Lincoln,Navigator,2020_lincoln_navigator,MPV,47%,21% MX,,US,,MX,,US,,,
General Motors LLC,Buick,Envision,2020_buick_envision,MPV,1%,94% CH,,CH,,CH,,CH,,,
General Motors LLC,Cadillac,Escalade,2020_cadillac_escalade,MPV,43%,44% M,,US,,US,,US,,,
General Motors LLC,Chevrolet,Equinox,2020_chevrolet_equinox,MPV,47%,29% M,,M,,US,,US,,,
General Motors LLC,Chevrolet,"Tahoe, Suburban",2020_chevrolet_tahoe,MPV,43%,44% M,,US,,US,,US,,,
General Motors LLC,GMC,Terrain,2020_gmc_terrain,MPV,47%,29% M,,M,,US,,US,,,
General Motors LLC,GMC,"Yukon, Yukon EXT",2020_gmc_yukon,MPV,43%,44% M,,US,,US,,US,,,
GM LLC,Chevrolet,Blazer,2020_chevrolet_blazer,MPV,52%,21% Mexico, ,"M, Ramos Arizpe",,US,,US,,,
GM LLC,Chevrolet,Traverse,2020_chevrolet_traverse,MPV,52%,21% Mexico, ,"US, Lansing, MI",,M,,US,,,
GM LLC,Buick,Enclave,2020_buick_enclave,MPV,52%,21% Mexico, ,"US, Lansing, MI",,M,,US,,,
GM LLC,GMC,Acadia,2020_gmc_acadia,MPV,52%,21% Mexico, ,"US, Spring Hill, TN",,US,,US,,,
GM LLC,Cadillac,XT5,2020_cadillac_xt5,MPV,52%,21% Mexico, ,"US, Spring Hill, TN",,US,,US,,,
GM LLC,Cadillac,XT6,2020_cadillac_xt6,MPV,52%,21% Mexico, ,"US, Spring Hill, TN",,US,,US,,,
GM LLC,Chevrolet,Malibu,2020_chevrolet_malibu,PC,54%,22% Mexico, ,"US, Kansas City, KA",,US,"H, M",US,M,,
GM LLC,Cadillac,XT4,2020_cadillac_xt4,MPV,54%,22% Mexico, ,"US, Kansas City, KA",,US,,US,,,
GM LLC,Buick,Regal,2020_buick_regal,PC,21%,25% Germany,23% Vietnam,"G, Russelsheim ",,US,,J,M,,
GM LLC,Buick,Encore ,2020_buick_encore,MPV,4%,63% Korea, ,"K, Bupyeong",,A,,K,,,
GM LLC,Chevrolet,Trax (Korea),2020_chevrolet_trax,MPV,4%,62% Korea, ,"K, Bupyeong",,A,,K,,,
GM LLC,Chevrolet,Trax (Mexico),2020_chevrolet_trax,MPV,14%,54% Mexico, ,"M, San Luis Potosi",,A,,US,,,
GM LLC,Chevrolet,Sonic,2020_chevrolet_sonic,PC,41%,19% Mexico, ,"US, Lake Orion, MI",,A,,US,,,
GM LLC,Chevrolet,Spark,2020_chevrolet_spark,PC,1%,76% Korea, ,"K, Changwon",,K,,J,K,,
GM LLC,Chevrolet,Colorado,2020_chevrolet_colorado,T,64%,17% Mexico, ,"US, Wentzville, MO",,US,TH,US,,,
GM LLC,GMC,Canyon,2020_gmc_canyon,T,64%,17% Mexico, ,"US, Wentzville, MO",,US,TH,US,,,
GM LLC,Chevrolet,Camaro,2020_chevrolet_camaro,PC,66%, , ,"US, Lansing, MI",,US,,US,M,,
GM LLC,Chevrolet,Bolt,2020_chevrolet_boltev,PC,24%,57% Korea, ,"US, Lake Orion, MI",,K,,K,,,
GM LLC,Chevrolet,Silverado,2020_chevrolet_silverado,T,46%,38% Mexico, ,"US, Roanoke, IN","M, Silao",US,,US,,,
GM LLC,GMC,Sierra,2020_gmc_sierra,T,46%,38% Mexico, ,"US, Roanoke, IN","M, Silao",US,,US,,,
GM LLC,Cadillac,CT6,2020_cadillac_ct6,PC,42%,25% China,22% Mexico,"US, Detroit/Ham, MI",,US,,US,M,,
GM LLC,Chevrolet,Impala,2020_chevrolet_impala,PC,53%,26% Mexico, ,"US, Detroit/Ham, MI","CN, Oshawa Ont",M,,US,,,
GM LLC,Cadillac,CT4,2020_cadillac_ct4,PC,55%,19% China, ,"US, Lansing, MI",,US,,US,,,
GM LLC,Cadillac,CT5,2020_cadillac_ct5,PC,55%,19% China, ,"US, Lansing, MI",,US,,US,,,
GM LLC,Chevrolet,Corvette,2020_chevrolet_corvette,PC,64%, , ,"US, Bowling Green, KY",,US,,US,,,
GM LLC,Buick ,Encore GX,2020_buick_encore,MPV,3%,44% Korea ,26% Mexico,"K, Incheon",,M,,M,,,
"Honda Motor Co., Ltd.",Acura,RDX AWD  A- Spec,2020_acura_rdx,MPV,65%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Acura,RDX AWD,2020_acura_rdx,MPV,65%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Acura,MDX FWD,2020_acura_mdx,MPV,65%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Acura,MDX AWD,2020_acura_mdx,MPV,60%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Acura,MDX AWD,2020_acura_mdx,MPV,60%,,,US,,J,,J,,,
"Honda Motor Co., Ltd.",Acura,MDX AWD  A- Spec,2020_acura_mdx,MPV,60%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,Ridgeline  AWD,2020_honda_ridgeline,Truck,70%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,Ridgeline  FWD,2020_honda_ridgeline,Truck,70%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,Pilot 2WD,2020_honda_pilot,MPV,65%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,Pilot AWD,2020_honda_pilot,MPV,65%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,Passport 2WD,2020_honda_passport,MPV,70%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,Passport AWD,2020_honda_passport,MPV,70%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,Odyssey,2020_honda_odyssey,MPV,70%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Acura,NSX  AWD,2020_acura_nsx,PC,35%,35% J,25% UK,US,,UK,,J,,,
"Honda Motor Co., Ltd.",Acura,ILX,2020_acura_ilx,PC,55%,20% J,,US,,US,,J,,,
"Honda Motor Co., Ltd.",Acura,RLX  FWD,2020_acura_rlx,PC,20%,70% J,,J,,J,,US,,,
"Honda Motor Co., Ltd.",Acura,RLX AWD,2020_acura_rlx,PC,5%,90% J,,J,,J,,J,,,
"Honda Motor Co., Ltd.",Acura,TLX AWD,2020_acura_tlx,PC,70%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Acura,TLX  AWD A-Spec,2020_acura_tlx,PC,70%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Acura,TLX  FWD,2020_acura_tlx,PC,70%,,,US,,US,,J,,,
"Honda Motor Co., Ltd.",Acura,TLX  FWD,2020_acura_tlx,PC,70%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Acura,TLX  FWD A-Spec,2020_acura_tlx,PC,70%,,,US,,US,,J,,,
"Honda Motor Co., Ltd.",Acura,TLX  FWD A-Spec,2020_acura_tlx,PC,70%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,HR-V 2WD,2020_honda_hrv,MPV,20%,40% MX,15% J,MX,,US,,Ind,,,
"Honda Motor Co., Ltd.",Honda,HR-V 2WD,2020_honda_hrv,MPV,20%,40% MX,15% J,MX,,US,,Ind,,,
"Honda Motor Co., Ltd.",Honda,HR-V AWD,2020_honda_hrv,MPV,20%,35% MX,20% J,MX,,US,,Ind,,,
"Honda Motor Co., Ltd.",Honda,HR-V AWD,2020_honda_hrv,MPV,20%,35% MX,20% J,MX,,US,,Ind,,,
"Honda Motor Co., Ltd.",Honda,CR-V 2WD,2020_honda_crv,MPV,65%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,CR-V 2WD,2020_honda_crv,MPV,65%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,CR-V 2WD,2020_honda_crv,MPV,65%,,,CAN,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,CR-V 2WD,2020_honda_crv,MPV,65%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,CR-V 4WD,2020_honda_crv,MPV,55%,20% J,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,CR-V 4WD,2020_honda_crv,MPV,55%,20% J,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,CR-V 4WD,2020_honda_crv,MPV,55%,20% J,,CAN,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,CR-V 4WD,2020_honda_crv,MPV,55%,20% J,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,CR-V 4WD,2020_honda_crv,MPV,55%,20% J,,US,,US,,J,,,
"Honda Motor Co., Ltd.",Honda,Civic  5Dr,2020_honda_civic,PC,20%,20% UK,20% J,UK,,J,,US,,,
"Honda Motor Co., Ltd.",Honda,Civic  5Dr,2020_honda_civic,PC,20%,20% UK,20% J,UK,,J,,Ind,,,
"Honda Motor Co., Ltd.",Honda,Civic 2D,2020_honda_civic,PC,65%,,,CAN,,US,,IND,,,
"Honda Motor Co., Ltd.",Honda,Civic 2D,2020_honda_civic,PC,65%,,,CAN,,US,,IND,,,
"Honda Motor Co., Ltd.",Honda,Civic 2D,2020_honda_civic,PC,65%,,,CAN,,US,,IND,,,
"Honda Motor Co., Ltd.",Honda,Civic 4D,2020_honda_civic,PC,65%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,Civic 4D,2020_honda_civic,PC,65%,,,US,,US,,MX,,,
"Honda Motor Co., Ltd.",Honda,Civic 4D,2020_honda_civic,PC,65%,,,US,,US,,IND,,,
"Honda Motor Co., Ltd.",Honda,Civic 4D,2020_honda_civic,PC,65%,,,CAN,,US,,IND,,,
"Honda Motor Co., Ltd.",Honda,Civic 4D,2020_honda_civic,PC,65%,,,CAN,,US,,IND,,,
"Honda Motor Co., Ltd.",Honda,Civic 4D,2020_honda_civic,PC,65%,,,CAN,,US,,IND,,,
"Honda Motor Co., Ltd.",Honda,Accord,2020_honda_accord,PC,65%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,Accord,2020_honda_accord,PC,65%,,,US,,US,,IND,,,
"Honda Motor Co., Ltd.",Honda,Accord,2020_honda_accord,PC,65%,,,US,,J,,J,,,
"Honda Motor Co., Ltd.",Honda,Accord 2.0L Sport/Touring,2020_honda_accord,PC,65%,,,US,,US,,US,,,
"Honda Motor Co., Ltd.",Honda,FIT,2020_honda_fit,PC,20%,45% MX,15% J,MX,,MX,,PH,,,
"Honda Motor Co., Ltd.",Honda,FIT,2020_honda_fit,PC,20%,45% MX,15% J,MX,,MX,,MX,,,
"Honda Motor Co., Ltd.",Honda,Clarity,2020_honda_clarityhybrid,PC,5%,85% J,,US,,J,,J,,,
"Honda Motor Co., Ltd.",Honda,Insight,2020_honda_insight,PC,45%,30% J,,US,,J,,J,,,
"Honda Motor Co., Ltd.",Honda,Insight Touring,2020_honda_insight,PC,45%,25% J,,US,,J,,J,,,
Hyundai Motor Company,Genesis,G70,2020_genesis_g70,PC,5%,85% K,,K,,K,,K,,,
Hyundai Motor Company,Genesis,G80,2020_genesis_g80,PC,5%,85% K,,K,,K,,K,,,
Hyundai Motor Company,Genesis,G90,2020_genesis_g90,PC,0%,90% K,,K,,K,,K,,,
Hyundai Motor Company,Hyundai,Accent,2020_hyundai_accent,PC,5%,55% MX,45% K,MX,,MX,,K,MX,,
Hyundai Motor Company,Hyundai,Elantra GT,2020_hyundai_elantra,PC,0%,90% K,,K,,K,,K,,,
